Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-02-18,2016,2,18,Thursday,07,2016-07,149.13,149.84,146.82,148.65,2894300,129.93,-0.014975648087770743,129.15285714285716,131.4525
2016-02-19,2016,2,19,Friday,07,2016-07,149.0,149.14,146.85,148.7,2471700,129.98,0.00033610322949173543,129.02785714285716,131.4078787878788
2016-02-22,2016,2,22,Monday,08,2016-08,149.63,150.18,148.49,150.06,2161300,131.16,0.00914616787329292,128.97857142857143,131.40058823529412
2016-02-23,2016,2,23,Tuesday,08,2016-08,149.89,151.76,149.12,150.36,1850600,131.43,0.0019991831094678947,129.12,131.40142857142857
2016-02-24,2016,2,24,Wednesday,08,2016-08,150.03,154.41,149.66,153.87,2590100,134.49,0.023344064154583233,129.59214285714285,131.48722222222221
2016-02-25,2016,2,25,Thursday,08,2016-08,154.69,154.88,152.86,154.72,1746900,135.24,0.005524114721786821,130.3307142857143,131.58864864864864
2016-02-26,2016,2,26,Friday,08,2016-08,153.09,153.41,148.76,149.68,3800800,130.83,-0.032575369340741234,130.71,131.5686842105263
2016-02-29,2016,2,29,Monday,09,2016-09,149.99,152.3,149.69,150.03,3115800,131.14,0.0023387495568121253,130.92285714285714,131.55769230769232
2016-03-01,2016,3,1,Tuesday,09,2016-09,150.4,151.2,149.38,150.52,2681400,131.57,0.0032661209013935544,131.1092857142857,131.558
2016-03-02,2016,3,2,Wednesday,09,2016-09,151.13,152.95,150.39,152.79,2947600,133.55,0.015081016654019397,131.405,131.60658536585365
2016-03-03,2016,3,3,Thursday,09,2016-09,148.56,151.96,147.38,151.6,5552600,132.51,-0.007788380714448873,131.71428571428572,131.62809523809523
2016-03-04,2016,3,4,Friday,09,2016-09,151.74,151.77,150.03,150.9,2155600,131.9,-0.004617565403035151,131.855,131.63441860465116
2016-03-07,2016,3,7,Monday,10,2016-10,149.96,150.89,147.6,148.17,3159600,129.51,-0.018091583537036104,131.79642857142858,131.58613636363637
2016-03-08,2016,3,8,Tuesday,10,2016-10,147.66,151.92,147.1,150.95,3156300,131.94,0.018762347214996034,131.79857142857142,131.594
2016-03-09,2016,3,9,Wednesday,10,2016-10,151.35,153.5,151.31,153.05,2395300,133.78,0.013911655310504534,132.07357142857143,131.64152173913044
2016-03-10,2016,3,10,Thursday,10,2016-10,153.21,154.69,151.05,152.87,1413000,133.62,-0.0011757341608944483,132.33357142857142,131.6836170212766
2016-03-11,2016,3,11,Friday,10,2016-10,153.85,154.0,151.4,152.71,1829900,133.48,-0.0010468220779309423,132.49928571428572,131.72104166666665
2016-03-14,2016,3,14,Monday,11,2016-11,152.26,153.3,151.65,152.67,1218400,133.45,-0.00026189402997067734,132.64357142857142,131.75632653061223
2016-03-15,2016,3,15,Tuesday,11,2016-11,151.8,154.42,151.8,154.18,1398500,134.77,0.009890661758097385,132.66357142857143,131.8166
2016-03-16,2016,3,16,Wednesday,11,2016-11,153.7,155.0,152.63,154.06,1485500,134.66,-0.0007785307575695066,132.62214285714285,131.7284
2016-03-17,2016,3,17,Thursday,11,2016-11,153.82,154.74,153.59,153.84,1583200,134.47,-0.0014281918314089648,132.88214285714287,131.6296
2016-03-18,2016,3,18,Friday,11,2016-11,154.58,154.7,152.77,153.15,3611700,133.87,-0.004484745092249831,133.07714285714286,131.5446
2016-03-21,2016,3,21,Monday,12,2016-12,152.82,154.35,152.47,153.94,1367400,134.56,0.005158315512596046,133.29071428571427,131.5366
2016-03-22,2016,3,22,Tuesday,12,2016-12,153.21,153.81,152.0,152.23,1943100,133.06,-0.011108524310825985,133.2557142857143,131.54579999999999
2016-03-23,2016,3,23,Wednesday,12,2016-12,152.18,153.93,151.64,153.51,2127300,134.18,0.008408526526851423,133.375,131.532
2016-03-24,2016,3,24,Thursday,12,2016-12,153.24,154.08,150.85,151.43,2506500,132.36,-0.013549679086248712,133.40785714285715,131.4584
2016-03-28,2016,3,28,Monday,13,2016-13,151.8,153.94,151.78,152.67,1767400,133.45,0.008188724430914673,133.68928571428572,131.47519999999997
2016-03-29,2016,3,29,Tuesday,13,2016-13,152.77,155.46,152.52,155.26,1655400,135.71,0.01696479638379511,133.95857142857145,131.5188
2016-03-30,2016,3,30,Wednesday,13,2016-13,155.91,158.24,155.65,157.6,2642700,137.76,0.015071248929602099,134.24285714285716,131.652
2016-03-31,2016,3,31,Thursday,13,2016-13,157.96,159.8,157.52,157.58,2692400,137.74,-0.00012693939806796006,134.53714285714287,131.7834
2016-04-01,2016,4,1,Friday,13,2016-13,157.87,159.09,157.0,158.25,1531500,138.32,0.004252123458365675,134.88285714285715,131.9552
2016-04-04,2016,4,4,Monday,14,2016-14,158.68,158.99,156.46,157.73,1458400,137.87,-0.0032863156299272056,135.19857142857143,132.0908
2016-04-05,2016,4,5,Tuesday,14,2016-14,157.89,158.0,155.72,155.99,1855600,136.35,-0.011031527630947502,135.3114285714286,132.1384
2016-04-06,2016,4,6,Wednesday,14,2016-14,155.81,157.41,155.22,156.77,1572600,137.03,0.0050002786574574465,135.4807142857143,132.2502
2016-04-07,2016,4,7,Thursday,14,2016-14,154.42,154.58,151.48,152.03,4050100,132.89,-0.0302353474233783,135.36785714285713,132.319
2016-04-08,2016,4,8,Friday,14,2016-14,152.98,152.98,150.92,151.65,2008500,132.55,-0.002499064745343227,135.27357142857142,132.39440000000002
2016-04-11,2016,4,11,Monday,15,2016-15,151.34,151.94,148.97,149.05,2279000,130.28,-0.017144858798580964,134.96785714285716,132.392
2016-04-12,2016,4,12,Tuesday,15,2016-15,149.6,150.68,148.51,150.52,2268300,131.57,0.009862552272710046,134.86142857142858,132.3888
2016-04-13,2016,4,13,Wednesday,15,2016-15,151.57,152.08,150.59,151.88,2078800,132.76,0.00903534216780244,134.76000000000002,132.40699999999998
2016-04-14,2016,4,14,Thursday,15,2016-15,152.59,152.91,151.14,151.4,2420000,132.34,-0.0031607068700979513,134.75857142857143,132.4648
2016-04-15,2016,4,15,Friday,15,2016-15,151.96,153.81,151.84,153.17,2675900,133.88,0.011690959174519788,134.7892857142857,132.5848
2016-04-18,2016,4,18,Monday,16,2016-16,152.78,153.71,152.27,153.3,1335800,134.0,0.0008489698675531177,134.66714285714286,132.7668
2016-04-19,2016,4,19,Tuesday,16,2016-16,153.78,153.9,152.49,153.68,1579000,134.33,0.0024785882136446613,134.42214285714286,132.94299999999998
2016-04-20,2016,4,20,Wednesday,16,2016-16,153.72,153.89,152.6,152.74,1308700,133.51,-0.00611628854287527,134.12,133.05
2016-04-21,2016,4,21,Thursday,16,2016-16,152.49,152.74,150.69,151.42,2097600,132.35,-0.008642403126840836,133.69357142857143,133.11780000000002
2016-04-22,2016,4,22,Friday,16,2016-16,151.05,151.81,149.36,149.92,2233900,131.04,-0.009906481696792757,133.2057142857143,133.15040000000002
2016-04-25,2016,4,25,Monday,17,2016-17,149.98,151.68,149.47,151.51,1249000,132.43,0.010605742508519755,132.92571428571426,133.2354
2016-04-26,2016,4,26,Tuesday,17,2016-17,152.08,153.45,151.67,152.6,1552900,133.38,0.0071943183780844855,132.665,133.30440000000002
2016-04-27,2016,4,27,Wednesday,17,2016-17,152.24,152.51,150.6,151.77,1492800,133.05,-0.0024973943291954903,132.67642857142857,133.3588
2016-04-28,2016,4,28,Thursday,17,2016-17,152.01,153.65,151.14,151.44,2198100,132.76,-0.002174506403904708,132.6914285714286,133.3758
2016-04-29,2016,4,29,Friday,17,2016-17,150.01,150.98,147.46,148.13,3588800,129.86,-0.021857159161214113,132.66142857142856,133.3744
2016-05-02,2016,5,2,Monday,18,2016-18,148.76,151.42,147.75,150.93,3361500,132.32,0.018902664999401964,132.715,133.4212
2016-05-03,2016,5,3,Tuesday,18,2016-18,150.08,152.53,149.6,151.41,2201300,132.74,0.003180102723683742,132.71357142857144,133.4528
2016-05-04,2016,5,4,Wednesday,18,2016-18,150.12,152.0,149.44,151.51,2111600,132.82,0.0006608810168164947,132.74785714285716,133.48059999999998
2016-05-05,2016,5,5,Thursday,18,2016-18,148.98,150.38,146.37,147.84,4869300,129.61,-0.024223116064426065,132.44285714285715,133.38299999999998
2016-05-06,2016,5,6,Friday,18,2016-18,147.06,147.5,144.74,146.44,3692200,128.38,-0.009469280672088076,132.04142857142855,133.2458
2016-05-09,2016,5,9,Monday,19,2016-19,146.83,148.97,146.51,148.59,2843800,130.26,0.014681481664609697,131.75071428571428,133.2344
2016-05-10,2016,5,10,Tuesday,19,2016-19,149.38,149.98,148.75,149.56,1943900,131.11,0.006527836899661743,131.57928571428573,133.2338
2016-05-11,2016,5,11,Wednesday,19,2016-19,148.39,148.69,146.58,147.12,2812700,128.98,-0.016314418298496447,131.33857142857144,133.18200000000002
2016-05-12,2016,5,12,Thursday,19,2016-19,147.32,147.77,146.32,146.72,2860400,128.62,-0.002719070440641347,131.16571428571427,133.0834
2016-05-13,2016,5,13,Friday,19,2016-19,146.33,146.72,144.3,144.5,2993600,126.68,-0.015130663151408763,130.75500000000002,132.9668
2016-05-16,2016,5,16,Monday,20,2016-20,144.5,146.58,143.4,145.79,2615000,127.81,0.008927373889174861,130.35714285714286,132.885
2016-05-17,2016,5,17,Tuesday,20,2016-20,145.5,146.24,143.22,143.6,2928900,125.89,-0.015021474471110352,129.8457142857143,132.8126
2016-05-18,2016,5,18,Wednesday,20,2016-20,140.18,141.66,138.57,141.29,5717000,123.86,-0.016086652500694854,129.21,132.651
2016-05-19,2016,5,19,Thursday,20,2016-20,142.45,143.08,141.42,142.7,2830500,125.1,0.009979467371229234,128.86999999999998,132.4774
2016-05-20,2016,5,20,Friday,20,2016-20,142.73,143.5,142.02,142.69,2088400,125.09,-7.00121539392029e-05,128.35357142857143,132.3068
2016-05-23,2016,5,23,Monday,21,2016-21,142.84,144.0,141.91,142.01,1828400,124.5,-0.00476549013006522,127.765,132.12720000000002
2016-05-24,2016,5,24,Tuesday,21,2016-21,142.57,143.48,142.38,142.57,2813100,124.99,0.00394346811195323,127.2057142857143,131.958
2016-05-25,2016,5,25,Wednesday,21,2016-21,142.62,145.68,142.51,144.54,4156700,126.71,0.013817969348352666,126.99857142857142,131.7968
2016-05-26,2016,5,26,Thursday,21,2016-21,149.01,153.88,147.7,149.71,7679400,131.25,0.035768844407483735,127.20357142857142,131.7286
2016-05-27,2016,5,27,Friday,21,2016-21,150.24,150.77,148.11,149.08,3349800,130.69,-0.004208535680939485,127.23428571428572,131.653
2016-05-31,2016,5,31,Tuesday,22,2016-22,149.57,149.88,147.63,148.77,3738900,130.42,-0.0020793613173413217,127.18499999999999,131.584
2016-06-01,2016,6,1,Wednesday,22,2016-22,150.5,153.0,150.32,152.52,3487300,133.71,0.02520649747523196,127.52285714285715,131.56699999999998
2016-06-02,2016,6,2,Thursday,22,2016-22,150.05,151.51,148.55,151.51,3957600,132.82,-0.006621766090349479,127.82285714285715,131.56220000000002
2016-06-03,2016,6,3,Friday,22,2016-22,150.3,151.78,150.27,151.71,1964200,133.0,0.0013198551640181133,128.2742857142857,131.5386
2016-06-06,2016,6,6,Monday,23,2016-23,151.83,152.49,151.71,152.24,1961600,133.46,0.0034935967743860985,128.67785714285714,131.5606
2016-06-07,2016,6,7,Tuesday,23,2016-23,152.08,153.85,151.9,152.62,2113000,133.8,0.002496031924330566,129.24285714285713,131.5676
2016-06-08,2016,6,8,Wednesday,23,2016-23,152.68,153.47,152.05,153.37,1528300,134.45,0.0049141730384221205,129.99928571428572,131.5424
2016-06-09,2016,6,9,Thursday,23,2016-23,153.0,154.14,152.92,154.05,1812100,135.05,0.004433698514629381,130.71,131.4882
2016-06-10,2016,6,10,Friday,23,2016-23,153.0,155.15,152.94,154.87,3266500,135.77,0.005323324000332974,131.47285714285712,131.4488
2016-06-13,2016,6,13,Monday,24,2016-24,154.76,155.96,154.57,154.95,2576600,135.84,0.0005160833231809825,132.28285714285715,131.3992
2016-06-14,2016,6,14,Tuesday,24,2016-24,154.55,156.36,153.57,155.87,3274700,136.65,0.005937513339129508,133.1157142857143,131.3748
2016-06-15,2016,6,15,Wednesday,24,2016-24,155.7,156.78,154.66,154.86,2228500,135.76,-0.006479671450384639,133.76214285714283,131.363
2016-06-16,2016,6,16,Thursday,24,2016-24,154.86,156.5,154.11,156.42,1937400,137.13,0.01007326902778849,134.18214285714288,131.365
2016-06-17,2016,6,17,Friday,24,2016-24,157.03,157.25,155.76,155.89,2858200,136.66,-0.0033879558264950926,134.60857142857142,131.4404
2016-06-20,2016,6,20,Monday,25,2016-25,157.38,158.38,156.45,156.48,2090800,137.18,0.0037845613655862476,135.09142857142857,131.53300000000002
2016-06-21,2016,6,21,Tuesday,25,2016-25,157.07,157.9,156.66,157.2,1909700,137.81,0.004601411924250565,135.3842857142857,131.6836
2016-06-22,2016,6,22,Wednesday,25,2016-25,157.61,158.42,157.16,158.12,2094800,138.62,0.005852306975512311,135.79857142857142,131.8246
2016-06-23,2016,6,23,Thursday,25,2016-25,158.6,158.79,156.34,157.03,2912400,137.66,-0.006893824079410749,136.1314285714286,131.9226
2016-06-24,2016,6,24,Friday,25,2016-25,153.16,157.69,153.1,155.56,3996100,136.37,-0.009361129901846454,136.33928571428572,132.0032
2016-06-27,2016,6,27,Monday,26,2016-26,154.24,154.93,152.55,154.26,2790800,135.23,-0.008356768492404854,136.4414285714286,132.0302
2016-06-28,2016,6,28,Tuesday,26,2016-26,154.66,155.93,153.71,155.6,2156300,136.41,0.008686593240147644,136.58142857142857,132.0784
2016-06-29,2016,6,29,Wednesday,26,2016-26,156.44,157.28,155.89,157.08,1942500,137.71,0.009511590121620062,136.77142857142857,132.14600000000002
2016-06-30,2016,6,30,Thursday,26,2016-26,156.96,157.82,155.5,157.04,3091100,137.67,-0.00025452211671983527,136.90714285714287,132.2292
2016-07-01,2016,7,1,Friday,26,2016-26,157.19,157.19,155.4,156.11,2317200,136.86,-0.005922110590915408,136.98,132.31939999999997
2016-07-05,2016,7,5,Tuesday,27,2016-27,156.08,156.15,154.7,155.25,2807400,136.1,-0.005508958775572892,136.94071428571428,132.4206
2016-07-06,2016,7,6,Wednesday,27,2016-27,155.2,156.55,154.67,156.01,2133200,136.77,0.004895165341740615,137.01285714285714,132.50740000000002
2016-07-07,2016,7,7,Thursday,27,2016-27,158.33,164.16,158.0,163.7,6497900,143.51,0.0492918886836069,137.46857142857144,132.71
2016-07-08,2016,7,8,Friday,27,2016-27,164.84,166.1,164.49,165.44,3932000,145.04,0.010629130140816123,138.06714285714287,132.94979999999998
2016-07-11,2016,7,11,Monday,28,2016-28,165.06,167.49,165.06,166.72,2634300,146.16,0.007736927627533419,138.70857142857145,133.21779999999998
2016-07-12,2016,7,12,Tuesday,28,2016-28,166.49,166.92,165.82,166.28,1642100,145.77,-0.002639006410641187,139.27714285714288,133.536
2016-07-13,2016,7,13,Wednesday,28,2016-28,167.0,167.19,166.02,166.78,1479800,146.21,0.0030069105768073534,139.8192857142857,133.81380000000001
2016-07-14,2016,7,14,Thursday,28,2016-28,167.15,168.0,166.28,166.94,2150100,146.35,0.0009592933789868141,140.44,134.086
2016-07-15,2016,7,15,Friday,28,2016-28,167.44,167.44,165.6,166.41,1962300,145.89,-0.0031747703243948378,141.12,134.3474
2016-07-18,2016,7,18,Monday,29,2016-29,166.56,167.86,165.92,167.51,1993800,146.85,0.006610224358957639,141.95,134.6922
2016-07-19,2016,7,19,Tuesday,29,2016-29,167.5,168.56,167.39,168.12,1487800,147.39,0.003641315653355459,142.7342857142857,135.0724
2016-07-20,2016,7,20,Wednesday,29,2016-29,168.25,168.26,166.95,168.04,1336900,147.32,-0.0004756167229076347,143.4207142857143,135.4136
2016-07-21,2016,7,21,Thursday,29,2016-29,167.43,167.75,166.3,167.05,1384600,146.45,-0.0058913801768387675,144.04785714285714,135.7204
